Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,gpt_point,predicted_score
19375,US,"Gigantic, huge, enormously extracted Zinfandel. So strong, it's practically a food group. Offers tiers of raspberries, cherries, blackberries, black currants, raisins, dark chocolate and spices. The alcohol level is very high, giving it a hot finish. It's a classic example of this old vine, superripe style.",Luvisi Vineyard,88,42,California,Calistoga,Napa,,,Vermeil 2010 Luvisi Vineyard Zinfandel (Calistoga),Zinfandel,Vermeil,92,87
123145,US,"Pretty basic, a dryly tannic red wine with cherry and herb flavors. Feels hard and sharp in the mouth, with astringent tannins and acids. Could age out.",Athena,84,20,California,Sonoma County,Sonoma,,,Viansa 2007 Athena Dolcetto (Sonoma County),Dolcetto,Viansa,84,85
51573,US,"Fermented and aged in neutral oak, this mixes the richness of Chardonnay with the herbaceous tang of Sauvignon Blanc鈥攂ut flavors notwithstanding, it's in fact pure Viognier. Excellent mouthfeel and structure carry the light and pretty fruit onto the finish that shows just a hint of barrel toast.",,90,35,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine聽,Lullaby 2010 Viognier (Walla Walla Valley (WA)),Viognier,Lullaby,92,91
25549,US,"Well-integrated oak, deliciously ripe fruit flavors and an absolutely luscious texture make a great combination for this very full-bodied wine. The entry is smooth and light, then the flavors of ripe plum and boysenberry build on the palate, very mouth filling and rich, before lingering on a long finish.",Estate Vineyard,92,30,California,Amador County,Sierra Foothills,Jim Gordon,@gordone_cellars,Amador Cellars 2014 Estate Vineyard Zinfandel (Amador County),Zinfandel,Amador Cellars,94,92
17123,US,"Kimmel's Merlot is satisfying in dark cherry, vanilla and a streak of toasted coconut. Its finish is long and textured, and the wine should have a lengthy shelf life of 3鈥? years more at least.",,87,38,California,Mendocino County,,Virginie Boone,@vboone,Kimmel 2010 Merlot (Mendocino County),Merlot,Kimmel,92,90
34486,US,"Lighter aromas of turned earth, dried blueberries and beef jerky show on the nose of this blend of 34% Merlot, 26% Cabernet Sauvignon, 25% Petite Sirah and 15% Petit Verdot. The palate packs bright black raspberries and blackberries together with graphite and light cedar notes.",BDX,88,16,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Quadrant 2012 BDX Red (Paso Robles),Red Blend,Quadrant,88,88
114329,US,"This is a fun and quaffable kitchen sink blend of 32% Syrah, 22% Cabernet Sauvignon, 18% Merlot, 15% Petit Verdot, 9% Zinfandel and 4% Malbec. Sea salt caramel and cherry candy aromas lead into a palate full of red currant and strawberry jam flavors. Serve with cheeseburgers.",,88,19,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Cirque du Vin 2014 Red (Paso Robles),Red Blend,Cirque du Vin,88,86
103276,US,"One of the lusher, more delicious Cab Francs out there. It's enormous in baked cherry pie flavors, with the spicy, smoky crust, and a little heat from alcohol. Drink this generous wine while it's still fresh and young.",,90,36,California,Napa Valley,Napa,,,Titus 2009 Cabernet Franc (Napa Valley),Cabernet Franc,Titus,93,91
105336,US,"This 100% varietal wine is unabashedly appealing with pure, direct notes of coffee and plum. It's the feel that truly dazzles, with a supple velvety texture and a tart uptick on the lingering finish.",Mary's Block Windrow Vineyard,91,45,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Flying Trout 2012 Mary's Block Windrow Vineyard Malbec (Walla Walla Valley (WA)),Malbec,Flying Trout,94,91
74439,US,"Perfectly acceptable for a Sauvignon Blanc, with the acidity you want in the variety to brighten the ripe citrus, green apple and tropical fruit flavors. Two minor quibbles are a slight spritziness and a candy-sweet finish, but it's pretty nice for the price.",,86,16,California,Dry Creek Valley,Sonoma,,,Rued 2010 Sauvignon Blanc (Dry Creek Valley),Sauvignon Blanc,Rued,88,85
