_rid,predicted_score,description,country,price,variety,winery,title
9049466451706566,87,"Gigantic, huge, enormously extracted Zinfandel. So strong, it's practically a food group. Offers tiers of raspberries, cherries, blackberries, black currants, raisins, dark chocolate and spices. The alcohol level is very high, giving it a hot finish. It's a classic example of this old vine, superripe style.",US,42,Zinfandel,Vermeil,Vermeil 2010 Luvisi Vineyard Zinfandel (Calistoga)
5751847166c74cda,83,"Pretty basic, a dryly tannic red wine with cherry and herb flavors. Feels hard and sharp in the mouth, with astringent tannins and acids. Could age out.",US,20,Dolcetto,Viansa,Viansa 2007 Athena Dolcetto (Sonoma County)
6b63672e7281b9b2,91,"Fermented and aged in neutral oak, this mixes the richness of Chardonnay with the herbaceous tang of Sauvignon Blanc鈥攂ut flavors notwithstanding, it's in fact pure Viognier. Excellent mouthfeel and structure carry the light and pretty fruit onto the finish that shows just a hint of barrel toast.",US,35,Viognier,Lullaby,Lullaby 2010 Viognier (Walla Walla Valley (WA))
06990142f71ed932,92,"Well-integrated oak, deliciously ripe fruit flavors and an absolutely luscious texture make a great combination for this very full-bodied wine. The entry is smooth and light, then the flavors of ripe plum and boysenberry build on the palate, very mouth filling and rich, before lingering on a long finish.",US,30,Zinfandel,Amador Cellars,Amador Cellars 2014 Estate Vineyard Zinfandel (Amador County)
623853652142b290,91,"Kimmel's Merlot is satisfying in dark cherry, vanilla and a streak of toasted coconut. Its finish is long and textured, and the wine should have a lengthy shelf life of 3鈥? years more at least.",US,38,Merlot,Kimmel,Kimmel 2010 Merlot (Mendocino County)
4431e29f060cea90,87,"Lighter aromas of turned earth, dried blueberries and beef jerky show on the nose of this blend of 34% Merlot, 26% Cabernet Sauvignon, 25% Petite Sirah and 15% Petit Verdot. The palate packs bright black raspberries and blackberries together with graphite and light cedar notes.",US,16,Red Blend,Quadrant,Quadrant 2012 BDX Red (Paso Robles)
213db431dcc6efed,87,"This is a fun and quaffable kitchen sink blend of 32% Syrah, 22% Cabernet Sauvignon, 18% Merlot, 15% Petit Verdot, 9% Zinfandel and 4% Malbec. Sea salt caramel and cherry candy aromas lead into a palate full of red currant and strawberry jam flavors. Serve with cheeseburgers.",US,19,Red Blend,Cirque du Vin,Cirque du Vin 2014 Red (Paso Robles)
e4b9bebe4fa50650,91,"One of the lusher, more delicious Cab Francs out there. It's enormous in baked cherry pie flavors, with the spicy, smoky crust, and a little heat from alcohol. Drink this generous wine while it's still fresh and young.",US,36,Cabernet Franc,Titus,Titus 2009 Cabernet Franc (Napa Valley)
5e04c9f8929418f1,92,"This 100% varietal wine is unabashedly appealing with pure, direct notes of coffee and plum. It's the feel that truly dazzles, with a supple velvety texture and a tart uptick on the lingering finish.",US,45,Malbec,Flying Trout,Flying Trout 2012 Mary's Block Windrow Vineyard Malbec (Walla Walla Valley (WA))
483301ce4cd3cf0d,87,"Perfectly acceptable for a Sauvignon Blanc, with the acidity you want in the variety to brighten the ripe citrus, green apple and tropical fruit flavors. Two minor quibbles are a slight spritziness and a candy-sweet finish, but it's pretty nice for the price.",US,16,Sauvignon Blanc,Rued,Rued 2010 Sauvignon Blanc (Dry Creek Valley)
